190,,
"Question 1",21647928,"Out of 1"
,"O(kn log (k))",2
,"O(kn log kn)",0
,"O(kn log(k))",2
,"O(kn log_k(n)",1
,"O(kn(log_2(k)))",2
,"O(kn)",0
,"O(kn*log(k))",2
,"O(kn*log(kn))",0
,"O(kn*log_2(k))",2
,"O(knlog k)",2
,"O(knlog(k))",2
,"O(knlog(kn))",2
,"O(knlog_2(k))",2
,"O(knlogk)",2
,"O(knlogn)",0
,"O(log(k)*k*n)",2
,"O(log(k)kn)",2
,"O(log(k)n)",0
,"O(log_2(k)(((k+1)/2)n))",0
,"O(log_2(k)nk)",2
,"O(log2(k)kn)",2
,"O(log2(k)nk)",2
,"O(n(log_2(k))",0
,"O(n*k*log_2(k))",2
,"O(nk log(k))",2
,"O(nk(log_2(k)))",2
,"O(nk)",0
,"O(nk*log(k))",2
,"O(nk*log_2(k))",2
,"O(nk^2)",0
,"O(nklog k)",2
,"O(nklog(k))",2
,"O(nklog_2(k))",2
,"O(nklog2(k))",2
,"O(nklogk)",2
,"O(nklogn)",0
,"O(nlog(k))",0
,"O(nlog(n))",0
,"O(nlog_2(k))",0
,"O(nlogk)",0
,"O(nlogn)",0
